"Year","Distance","BLOCK","avg.index"
2003,"1 block",1426,100
2003,"1 block",1432,100
2003,"1 block",1433,100
2003,"1 block",1427,100
2003,"1 block",1429,100
2003,"1 block",1423,100
2003,"1 block",1424,100
2003,"1 block",1425,100
2003,"1 block",1525,100
2003,"1 block",1428,100
2003,"1 block",1646,100
2003,"1 block",1430,100
2003,"1 block",1431,100
2003,"1 block",1530,100
2003,"1 block",1547,100
2003,"1 block",1548,100
2003,"1 block",1549,100
2003,"1 block",1550,100
2003,"1 block",1551,100
2003,"1 block",1552,100
2003,"1 block",1553,100
2003,"1 block",1554,100
2003,"1 block",1526,100
2003,"1 block",1527,100
2003,"1 block",1528,100
2003,"1 block",1529,100
2003,"1 block",1444,100
2003,"1 block",1445,100
2003,"1 block",1531,100
2003,"1 block",1532,100
2003,"1 block",1533,100
2003,"1 block",1534,100
2003,"1 block",1535,100
2003,"1 block",1536,100
2003,"1 block",1537,100
2003,"1 block",1539,100
2003,"1 block",1540,100
2003,"1 block",1542,100
2003,"1 block",1443,100
2003,"1 block",1558,100
2003,"1 block",1544,100
2003,"1 block",1446,100
2003,"1 block",1447,100
2003,"1 block",1448,100
2003,"1 block",1449,100
2003,"1 block",1450,100
2003,"1 block",1451,100
2003,"1 block",1452,100
2003,"1 block",1453,100
2003,"1 block",1555,100
2003,"1 block",1556,100
2003,"1 block",1557,100
2003,"1 block",1543,100
2003,"1 block",1545,100
2003,"1 block",1546,100
2003,"2-3 blocks left",1409,100
2003,"2-3 blocks left",1410,100
2003,"2-3 blocks left",1408,100
2003,"2-3 blocks left",1624,100
2003,"2-3 blocks left",1404,100
2003,"2-3 blocks left",1405,100
2003,"2-3 blocks left",1412,100
2003,"2-3 blocks left",1522,100
2003,"2-3 blocks left",1523,100
2003,"2-3 blocks left",1524,100
2003,"2-3 blocks left",1407,100
2003,"2-3 blocks left",1411,100
2003,"2-3 blocks left",1512,100
2003,"2-3 blocks left",1413,100
2003,"2-3 blocks left",1511,100
2003,"2-3 blocks left",1516,100
2003,"2-3 blocks left",1403,100
2003,"2-3 blocks left",1518,100
2003,"2-3 blocks left",1519,100
