,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE,ADDRESS_clean,FullAddress,LAT_LONG,LAT,LONG,YEAR,MONTH
1,1,HARLEM-EAST,07 RENTALS - WALKUP APARTMENTS             ,2,1633,33, ,C7,1904 THIRD AVE, ,10029,12,2,14,2542,9760,1910,2,C7,0,1/30/18,1904 THIRD AVE,"1904 THIRD AVE New York, NY 10029","(42.8002283, -73.9523152)",42.8002283,-73.9523152,2018,1
2,1,HARLEM-EAST,07 RENTALS - WALKUP APARTMENTS             ,2B,1633,34, ,C7,1906 THIRD AVE, ,10029,8,1,9,2500,9855,1910,2,C7,0,1/30/18,1906 THIRD AVE,"1906 THIRD AVE New York, NY 10029","(42.8002283, -73.9523152)",42.8002283,-73.9523152,2018,1
3,1,HARLEM-EAST,07 RENTALS - WALKUP APARTMENTS             ,2B,1676,17, ,C1,337 EAST 104TH STREET, ,10029,8,0,8,2523,5593,1910,2,C1,0,2/16/18,337 EAST 104TH STREET,"337 EAST 104TH STREET New York, NY 10029","(40.78883945, -73.94182945)",40.78883945,-73.94182945,2018,2
4,1,HARLEM-EAST,07 RENTALS - WALKUP APARTMENTS             ,2,1680,15, ,C7,323 EAST 108TH STREET, ,10029,33,2,35,5046,22596,1920,2,C7,0,2/16/18,323 EAST 108TH STREET,"323 EAST 108TH STREET New York, NY 10029","(40.7915399, -73.9400093)",40.7915399,-73.9400093,2018,2
5,1,HARLEM-EAST,07 RENTALS - WALKUP APARTMENTS             ,2,1680,40, ,C4,326 EAST 109TH STREET, ,10029,12,0,12,2523,11750,1920,2,C4,0,2/16/18,326 EAST 109TH STREET,"326 EAST 109TH STREET New York, NY 10029","(40.7918547, -73.93990431)",40.7918547,-73.93990431,2018,2
6,1,HARLEM-EAST,07 RENTALS - WALKUP APARTMENTS             ,2,1680,42, ,C1,322 EAST 109TH STREET, ,10029,20,0,20,2523,11750,1910,2,C1,0,2/16/18,322 EAST 109TH STREET,"322 EAST 109TH STREET New York, NY 10029","(40.79191845, -73.94006236)",40.79191845,-73.94006236,2018,2
7,1,HARLEM-EAST,07 RENTALS - WALKUP APARTMENTS             ,2,1681,5, ,C1,305 EAST 109TH STREET, ,10029,24,0,24,2876,13296,1910,2,C1,0,2/16/18,305 EAST 109TH STREET,"305 EAST 109TH STREET New York, NY 10029","(40.7925169, -73.94036309)",40.7925169,-73.94036309,2018,2
8,1,HARLEM-EAST,07 RENTALS - WALKUP APARTMENTS             ,2,1681,6, ,C1,307 EAST 109TH STREET, ,10029,24,0,24,2876,13296,1910,2,C1,0,2/16/18,307 EAST 109TH STREET,"307 EAST 109TH STREET New York, NY 10029","(40.7924786, -73.9402948)",40.7924786,-73.9402948,2018,2
9,1,HARLEM-EAST,07 RENTALS - WALKUP APARTMENTS             ,2,1682,7, ,C4,309 EAST 110 STREET, ,10029,15,0,15,2523,9100,1910,2,C4,0,2/16/18,309 EAST 110 STREET,"309 EAST 110 STREET New York, NY 10029","(40.792986, -73.939835)",40.792986,-73.939835,2018,2
10,1,HARLEM-EAST,07 RENTALS - WALKUP APARTMENTS             ,2,1682,52, ,C7,2154 SECOND AVENUE, ,10029,17,1,18,2500,9825,1910,2,C7,0,2/16/18,2154 SECOND AVENUE,"2154 SECOND AVENUE New York, NY 10029","(42.8020272, -73.9503835)",42.8020272,-73.9503835,2018,2
12,1,HARLEM-EAST,08 RENTALS - ELEVATOR APARTMENTS           ,2,1617,7, ,D1,1680 MADISON AVENUE, ,10029,135,0,135,54494,130000,1982,2,D1,0,1/22/18,1680 MADISON AVENUE,"1680 MADISON AVENUE New York, NY 10029","(40.7971849, -73.9471213)",40.7971849,-73.9471213,2018,1
15,1,HARLEM-EAST,12 CONDOS - WALKUP APARTMENTS              ,2,1630,1109, ,R2,173 EAST 102 STREET,3D,10029,1,0,1,0,0,1920,2,R2,0,2/1/18,173 EAST 102 STREET,"173 EAST 102 STREET New York, NY 10029","(40.789387, -73.947176)",40.789387,-73.947176,2018,2
23,1,HARLEM-EAST,14 RENTALS - 4-10 UNIT                     ,2A,1680,49, ,S9,2118 SECOND AVENUE, ,10029,2,2,4,1122,4988,1920,2,S9,0,2/16/18,2118 SECOND AVENUE,"2118 SECOND AVENUE New York, NY 10029","(42.8020272, -73.9503835)",42.8020272,-73.9503835,2018,2
25,1,HARLEM-EAST,22 STORE BUILDINGS                         ,4,1631,38, ,K2,1878 THIRD AVE, ,10029,0,1,1,2000,2920,1910,4,K2,0,1/30/18,1878 THIRD AVE,"1878 THIRD AVE New York, NY 10029","(42.8002283, -73.9523152)",42.8002283,-73.9523152,2018,1
26,1,HARLEM-EAST,22 STORE BUILDINGS                         ,4,1631,38, ,K2,1878 THIRD AVE, ,10029,0,1,1,2000,2920,1910,4,K2,0,1/13/18,1878 THIRD AVE,"1878 THIRD AVE New York, NY 10029","(42.8002283, -73.9523152)",42.8002283,-73.9523152,2018,1
28,1,UPPER EAST SIDE (59-79),01 ONE FAMILY DWELLINGS                    ,1,1398,123, ,S0,141 EAST 63RD   STREET, ,10065,1,2,3,1255,2720,1899,1,S0,0,1/31/18,141 EAST 63RD   STREET,"141 EAST 63RD   STREET New York, NY 10065","(40.764657, -73.96589)",40.764657,-73.96589,2018,1
46,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1388,37, ,D4,"784 PARK AVENUE, 9C", ,10021,0,0,0,0,0,1930,2,D4,0,1/29/18,784 PARK AVENUE,"784 PARK AVENUE New York, NY 10021","(40.7723613, -73.96342)",40.7723613,-73.96342,2018,1
59,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1402,1, ,D4,"655 PARK AVENUE, 7D", ,10065,0,0,0,0,0,1924,2,D4,0,1/11/18,655 PARK AVENUE,"655 PARK AVENUE New York, NY 10065","(40.767901, -73.965849)",40.767901,-73.965849,2018,1
63,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1405,40, ,D4,"176 EAST 71ST STREET, 14B", ,10021,0,0,0,0,0,1962,2,D4,0,1/9/18,176 EAST 71ST STREET,"176 EAST 71ST STREET New York, NY 10021","(40.7690138, -73.9615831999999)",40.7690138,-73.9615832,2018,1
113,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1445,7, ,D4,"315 E 70TH ST, 5H", ,10021,0,0,0,0,0,1960,2,D4,0,2/23/18,315 E 70TH ST,"315 E 70TH ST New York, NY 10021","(40.767319, -73.9586)",40.767319,-73.9586,2018,2
117,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1446,23, ,D4,"360 EAST 72ND STREET, A804", ,10021,0,0,0,0,0,1963,2,D4,0,1/24/18,360 EAST 72ND STREET,"360 EAST 72ND STREET New York, NY 10021","(40.7677332, -73.9563296)",40.7677332,-73.9563296,2018,1
