"BLOCK","LOT","TAX.CLASS","SALE.PRICE","Year"
"745","1","2C","290000",2003
"771","38","2","270000",2003
"816","31","2","410000",2003
"844","34","2C","1050000",2003
"896","39","2","422500",2003
"904","50","2","456200",2003
"906","24","2","360000",2003
"566","1","2","389000",2003
"525","1002","2","360000",2003
"1753","5","1","650000",2003
"1745","24","1","550755",2003
"1745","29","1","550755",2003
"1745","126","1","550755",2003
"1745","127","1","550755",2003
"1745","128","1","550755",2003
"1745","129","1","550755",2003
"1745","130","1","550755",2003
"1745","131","1","550755",2003
"1745","132","1","452967",2003
"1745","133","1","550755",2003
"1745","142","1","550755",2003
"1745","143","1","550755",2003
"1745","144","1","550755",2003
"1745","145","1","550755",2003
"1745","146","1","550755",2003
"1745","147","1","550750",2003
"1745","148","1","550755",2003
"1745","150","1","550755",2003
"1754","156","1","0",2003
"1751","48","4","0",2003
"1751","48","4","25000",2003
"1753","8","1","0",2003
"1753","8","1","0",2003
"1753","47",NA,"840000",2003
"1753","48",NA,"840000",2003
"1753","48",NA,"499000",2003
"1753","66","1","185000",2003
"1753","126","2B","250000",2003
"1754","102","1","150000",2003
"1770","43","4","226726",2003
"1722","137","2A","0",2003
"1722","137","2A","0",2003
"1723","38","1","200000",2003
"1725","37","1","495000",2003
"1749","2","2A","970000",2003
"1749","23","1","624000",2003
"1749","104","2B","615000",2003
"1750","32","2","0",2003
"1750","41","2A","612812",2003
"1750","63","2A","0",2003
"1751","11","1","222600",2003
"1751","41","2","6000",2003
"1751","51","2","0",2003
"1751","147","1","0",2003
"1752","11","2","0",2003
"1752","54","2A","295000",2003
"1752","68","1","200000",2003
"1753","26",NA,"800000",2003
"1753","64","2","414659",2003
"1753","72","2A","378422",2003
"1754","9","2B","425105",2003
"1754","30","2B","0",2003
"1754","69",NA,"0",2003
"1754","69",NA,"750000",2003
"1754","69",NA,"535000",2003
"1754","103","2A","300000",2003
"1768","5","2","200000",2003
"1768","7","2","1700000",2003
"1770","29","1","94000",2003
"1751","69","2","0",2003
"1768","1","2","450000",2003
"1768","1","2","0",2003
"1770","159","2","5200000",2003
"1775","45","2","0",2003
"1775","47",NA,"0",2003
"1775","48",NA,"0",2003
"1775","49",NA,"0",2003
"1775","50",NA,"0",2003
"1775","52",NA,"0",2003
"1775","149",NA,"0",2003
"1722","33","2","0",2003
"1746","21","2","179370",2003
"1746","21","2","211808",2003
"1746","21","2","298570",2003
"1746","21","2","221349",2003
"1746","21","2","207993",2003
"1746","21","2","273000",2003
"1749","21","2","13500",2003
"1820","1002","2","400000",2003
"1749","50","4","0",2003
"1749","123","2A","10000",2003
"1750","34","4","10000",2003
"1750","34","4","10000",2003
"1753","25",NA,"300000",2003
"1753","25",NA,"800000",2003
"1753","25",NA,"300000",2003
"1774","30","4","0",2003
"1750","27","4","0",2003
"1750","31","2B","0",2003
"1770","36","4","0",2003
"1774","5","4","700000",2003
"1774","6","4","1",2003
"1769","1","4","0",2003
"1772","34","4","0",2003
"1773","69","4","0",2003
"1745","32",NA,"0",2003
"1745","33",NA,"0",2003
"1745","34",NA,"0",2003
"1745","35",NA,"0",2003
"1745","36",NA,"0",2003
"1745","37",NA,"0",2003
"1745","38",NA,"0",2003
"1745","39",NA,"0",2003
"1745","41",NA,"0",2003
"1745","168","4","95000",2003
"1745","168","4","0",2003
"1749","48","4","484000",2003
"1749","49","4","405000",2003
"1754","40","4","800000",2003
"1754","41",NA,"75000",2003
"1768","69","4","715000",2003
"1768","69","4","715000",2003
"1768","70","4","715000",2003
"1768","70","4","715000",2003
"1768","71","4","715000",2003
"1768","71","4","715000",2003
"1768","169","4","0",2003
"1768","169","4","0",2003
"1768","170","4","0",2003
"1768","170","4","0",2003
"1772","46","4","250000",2003
"1750","45",NA,"495000",2003
"1643","122","1","0",2003
"1667","5","2A","0",2003
"1667","5","2A","850000",2003
"1667","5","2A","425000",2003
"1708","121","1","0",2003
"1708","121","1","0",2003
"1708","121","1","0",2003
"1708","121","1","0",2003
"1709","22","1","0",2003
"1623","25","1","0",2003
"1623","27","1","130306",2003
"1623","29","1","581556",2003
"1623","31","1","0",2003
"1623","32","1","0",2003
"1623","41","1","533394",2003
"1623","42","1","0",2003
"1623","43","1","526556",2003
"1623","44","1","526556",2003
"1623","45","1","0",2003
"1623","47","1","581556",2003
"1623","48","1","577556",2003
"1623","120","1","0",2003
"1623","136","1","0",2003
"1623","142","1","0",2003
"1623","143","1","0",2003
"1623","147","1","581556",2003
"1661","139","1","0",2003
"1711","28","1","0",2003
"1785","104","2A","800000",2003
"1639","59",NA,"1550000",2003
"1708","23",NA,"0",2003
"1708","25","4","65000",2003
"1710","34",NA,"415000",2003
"1795","49","4","275000",2003
"1795","49","4","225000",2003
"1621","21",NA,"0",2003
"1621","22","2","0",2003
"1621","28","2","0",2003
"1621","61","2","2750",2003
"1621","63","2","900000",2003
"1623","30","2","0",2003
"1623","35","2","0",2003
"1624","25","2","0",2003
"1625","53","2B","2000",2003
"1627","50","2","0",2003
"1629","13","2B","0",2003
"1629","14","2","2325000",2003
"1629","14","2","0",2003
"1629","61","2B","1200000",2003
"1629","63","2B","1230000",2003
"1630","29","2","1026000",2003
"1631","43","2A","0",2003
"1634","28","2B","0",2003
"1634","29","2","0",2003
"1634","30",NA,"0",2003
"1635","27","2A","0",2003
"1635","27","2A","0",2003
"1635","42","2A","0",2003
"1635","42","2A","475000",2003
"1635","144","2A","0",2003
"1635","145","1","580000",2003
"1635","145","1","430000",2003
"1635","151","2A","510000",2003
"1636","124","2A","0",2003
"1636","124","2A","650000",2003
"1637","21","2","0",2003
"1637","24","4","0",2003
"1637","25","4","0",2003
"1637","51","2A","0",2003
"1637","52","2","0",2003
"1638","14","2","2000000",2003
"1638","141","2A","625000",2003
"1639","29","2B","0",2003
"1639","51","2B","0",2003
"1639","150","2","0",2003
"1643","7","2B","0",2003
"1643","26","2B","0",2003
"1643","29","2B","350000",2003
"1643","127","2A","119679",2003
"1644","66","2B","475000",2003
"1644","156","2B","700000",2003
"1645","28","2B","0",2003
"1645","31","2A","10000",2003
"1645","41","2","450000",2003
"1645","44","2","2025000",2003
"1645","126","2A","355500",2003
"1655","5","2","6793260",2003
"1655","11","2","6793260",2003
"1660","28","2B","0",2003
"1667","9","2","0",2003
"1674","1","2","0",2003
"1676","18","2B","800000",2003
"1676","43","2B","6793260",2003
"1676","44","2B","0",2003
"1676","44","2B","1800000",2003
"1676","45","2B","1800000",2003
"1676","45","2B","0",2003
"1676","45","2B","0",2003
"1676","104","2B","0",2003
"1687","36","2A","260500",2003
"1708","16","2B","675000",2003
"1708","40","2A","0",2003
"1708","124","2A","660000",2003
"1708","142","2A","625000",2003
"1710","39","2A","0",2003
"1710","46","2A","380500",2003
"1711","26","4","360000",2003
"1783","4","2B","0",2003
"1783","9","2B","0",2003
"1783","46","2B","0",2003
"1783","47","2","0",2003
"1783","48","2","0",2003
"1784","25","2B","3150000",2003
"1784","26","2B","3150000",2003
"1784","27","2B","3150000",2003
"1784","28","2B","0",2003
"1784","128","2","0",2003
"1796","31","2B","0",2003
"1796","31","2B","0",2003
"1796","31","2B","0",2003
"1806","7","2","0",2003
"1806","47","2B","0",2003
"1807","45","2A","640000",2003
"1815","145","2A","485000",2003
"1624","1","2","0",2003
"1645","12","2","1950000",2003
"1687","38","2","0",2003
"1625","6","2","57500",2003
"1625","67","2","0",2003
"1625","68","2","135000",2003
"1625","68","2","0",2003
