"Year","Block","Total","index","Distance","avg.index"
2001,0,42,0,"other",0
2001,1375,65,0,"other",0
2001,1376,24,0,"other",0
2001,1377,51,0,"other",0
2001,1378,46,0,"other",0
2001,1379,72,0,"other",0
2001,1380,28,0,"other",0
2001,1381,61,0,"other",0
2001,1382,53,0,"other",0
2001,1383,53,0,"4-5 blocks left",0
2001,1384,52,0,"4-5 blocks left",0
2001,1385,52,0,"4-5 blocks left",0
2001,1386,35,0,"4-5 blocks left",0
2001,1387,46,0,"4-5 blocks left",0
2001,1388,31,0,"4-5 blocks left",0
2001,1389,39,0,"4-5 blocks left",0
2001,1390,52,0,"4-5 blocks left",0
2001,1391,62,0,"4-5 blocks left",0
2001,1392,45,0,"4-5 blocks left",0
2001,1393,45,0,"4-5 blocks left",0
2001,1395,28,0,"other",0
2001,1396,36,0,"other",0
2001,1397,22,0,"other",0
2001,1398,30,0,"other",0
2001,1399,29,0,"other",0
2001,1400,67,0,"other",0
2001,1401,13,0,"other",0
2001,1402,24,0,"other",0
2001,1403,18,0,"2-3 blocks left",0
2001,1404,63,0,"2-3 blocks left",0
2001,1405,26,0,"2-3 blocks left",0
2001,1406,32,0,"2-3 blocks left",0
2001,1407,46,0,"2-3 blocks left",0
2001,1408,41,0,"2-3 blocks left",0
2001,1409,43,0,"2-3 blocks left",0
2001,1410,15,0,"2-3 blocks left",0
2001,1411,31,0,"2-3 blocks left",0
2001,1412,31,0,"2-3 blocks left",0
2001,1413,44,0,"2-3 blocks left",0
2001,1415,27,0,"other",0
2001,1416,13,0,"other",0
2001,1417,15,0,"other",0
2001,1418,18,0,"other",0
2001,1419,20,0,"other",0
2001,1420,4,0,"other",0
2001,1421,21,0,"other",0
2001,1422,21,0,"other",0
2001,1423,11,0,"1 block",0
2001,1424,18,0,"1 block",0
2001,1425,7,0,"1 block",0
2001,1426,16,0,"1 block",0
2001,1427,18,0,"1 block",0
2001,1428,28,0,"1 block",0
2001,1429,9,0,"1 block",0
2001,1430,29,0,"1 block",0
2001,1431,8,0,"1 block",0
2001,1432,18,0,"1 block",0
2001,1433,28,0,"1 block",0
2001,1435,10,0,"other",0
2001,1436,9,0,"other",0
2001,1437,14,0,"other",0
2001,1438,13,0,"other",0
2001,1439,19,0,"other",0
2001,1440,17,0,"other",0
2001,1441,11,0,"other",0
2001,1442,5,0,"other",0
2001,1443,26,0,"1 block",0
2001,1444,27,0,"1 block",0
2001,1445,9,0,"1 block",0
2001,1446,26,0,"1 block",0
2001,1447,27,0,"1 block",0
2001,1448,24,0,"1 block",0
2001,1449,22,0,"1 block",0
2001,1450,22,0,"1 block",0
2001,1451,33,0,"1 block",0
2001,1452,23,0,"1 block",0
2001,1453,17,0,"1 block",0
2001,1456,24,0,"other",0
2001,1457,25,0,"other",0
2001,1458,11,0,"other",0
2001,1459,1,0,"other",0
2001,1460,17,0,"other",0
2001,1461,4,0,"other",0
2001,1462,72,0,"other",0
2001,1463,6,0,"2 blocks right",0
2001,1464,9,0,"2 blocks right",0
2001,1465,12,0,"2 blocks right",0
2001,1466,18,0,"2 blocks right",0
2001,1467,18,0,"2 blocks right",0
2001,1468,15,0,"2 blocks right",0
2001,1469,44,0,"2 blocks right",0
2001,1470,20,0,"2 blocks right",0
2001,1471,21,0,"2 blocks right",0
2001,1472,21,0,"2 blocks right",0
2001,1473,15,0,"2 blocks right",0
2001,1474,4,0,"other",0
2001,1475,5,0,"other",0
2001,1480,69,0,"3-4 blocks right",0
2001,1482,19,0,"3-4 blocks right",0
2001,1483,24,0,"3-4 blocks right",0
2001,1484,10,0,"3-4 blocks right",0
2001,1485,13,0,"3-4 blocks right",0
2001,1487,19,0,"3-4 blocks right",0
2001,1488,3,0,"3-4 blocks right",0
2001,1489,24,0,"3-4 blocks right",0
2001,1490,20,0,"3-4 blocks right",0
2001,1491,56,0,"4-5 blocks left",0
2001,1492,32,0,"4-5 blocks left",0
2001,1493,24,0,"4-5 blocks left",0
2001,1494,48,0,"4-5 blocks left",0
2001,1495,43,0,"4-5 blocks left",0
2001,1496,42,0,"4-5 blocks left",0
2001,1497,43,0,"4-5 blocks left",0
2001,1498,65,0,"4-5 blocks left",0
2001,1499,46,0,"4-5 blocks left",0
2001,1500,53,0,"4-5 blocks left",0
2001,1501,48,0,"4-5 blocks left",0
2001,1502,35,0,"4-5 blocks left",0
2001,1503,30,0,"4-5 blocks left",0
2001,1504,39,0,"4-5 blocks left",0
2001,1505,38,0,"4-5 blocks left",0
2001,1506,46,0,"4-5 blocks left",0
2001,1507,44,0,"4-5 blocks left",0
2001,1508,31,0,"2-3 blocks left",0
2001,1509,20,0,"2-3 blocks left",0
2001,1510,34,0,"2-3 blocks left",0
2001,1511,49,0,"2-3 blocks left",0
2001,1512,39,0,"2-3 blocks left",0
2001,1513,12,0,"2-3 blocks left",0
2001,1514,45,0,"2-3 blocks left",0
2001,1515,59,0,"2-3 blocks left",0
2001,1516,24,0,"2-3 blocks left",0
2001,1517,38,0,"2-3 blocks left",0
2001,1518,47,0,"2-3 blocks left",0
2001,1519,27,0,"2-3 blocks left",0
2001,1520,21,0,"2-3 blocks left",0
2001,1521,41,0,"2-3 blocks left",0
2001,1522,25,0,"2-3 blocks left",0
2001,1523,15,0,"2-3 blocks left",0
2001,1524,13,0,"2-3 blocks left",0
2001,1525,27,0,"1 block",0
2001,1526,8,0,"1 block",0
2001,1527,20,0,"1 block",0
2001,1528,25,0,"1 block",0
2001,1529,14,0,"1 block",0
2001,1530,17,0,"1 block",0
2001,1531,26,0,"1 block",0
2001,1532,14,0,"1 block",0
2001,1533,7,0,"1 block",0
2001,1534,7,0,"1 block",0
2001,1535,10,0,"1 block",0
2001,1536,4,0,"1 block",0
2001,1538,5,0,"1 block",0
2001,1539,6,0,"1 block",0
2001,1540,16,0,"1 block",0
2001,1542,28,0,"1 block",0
2001,1543,19,0,"1 block",0
2001,1544,45,0,"1 block",0
2001,1545,11,0,"1 block",0
2001,1546,17,0,"1 block",0
2001,1547,20,0,"1 block",0
2001,1548,15,0,"1 block",0
2001,1549,10,0,"1 block",0
2001,1550,15,0,"1 block",0
2001,1551,19,0,"1 block",0
2001,1552,17,0,"1 block",0
2001,1553,30,0,"1 block",0
