"","year","nbhd","block","lot","address","zip","sale_date","price","long","lat"
"1","2014","HARLEM-EAST","1616","38","94 EAST 111 STREET","10029","11/04/2014",2000000,-73.946005549454,40.7962941429698
"2","2014","HARLEM-EAST","1621","12","21 EAST 115 STREET","10029","05/06/2014",3000000,-73.9456707201369,40.799425720744
"3","2014","HARLEM-EAST","1625","67","114 EAST 98TH   STREET, 2R","10029","11/10/2014",320000,-73.9510718712726,40.7876230554074
"4","2014","HARLEM-EAST","1625","67","114 EAST 98TH STREET, 1E","10029","06/19/2014",250000,-73.9510718712726,40.7876230554074
"5","2014","HARLEM-EAST","1625","67","114 EAST 98TH STREET, 3W","10029","03/31/2014",265000,-73.9510718712726,40.7876230554074
"6","2014","HARLEM-EAST","1625","67","114 EAST 98TH STREET, 4R","10029","10/28/2014",275000,-73.9510718712726,40.7876230554074
"7","2014","HARLEM-EAST","1625","67","114 EAST 98TH STREET, 4W","10029","10/30/2014",285000,-73.9510718712726,40.7876230554074
"8","2014","HARLEM-EAST","1629","1117","1595 LEXINGTON AVENUE","10029","03/06/2014",610950,-73.9484199593127,40.789290696353
"9","2014","HARLEM-EAST","1629","1128","1595 LEXINGTON AVENUE","10029","04/22/2014",1700000,-73.9484199593127,40.789290696353
"10","2014","HARLEM-EAST","1629","1134","1595 LEXINGTON AVENUE","10029","02/11/2014",785000,-73.9484199593127,40.789290696353
"11","2014","HARLEM-EAST","1629","1137","1595 LEXINGTON AVENUE","10029","03/12/2014",524398,-73.9484199593127,40.789290696353
"12","2014","HARLEM-EAST","1630","1209","117 EAST 102ND STREET","10029","11/25/2014",690000,-73.9489430277805,40.7900320068632
"13","2014","HARLEM-EAST","1631","1009","1635 LEXINGTON AVENUE","10029","03/07/2014",815414,-73.9475378512092,40.7905007249227
"14","2014","HARLEM-EAST","1631","1010","1635 LEXINGTON AVENUE","10029","07/18/2014",680191,-73.9475378512092,40.7905007249227
"15","2014","HARLEM-EAST","1631","1011","1635 LEXINGTON AVE","10029","06/13/2014",914388,-73.9475378512092,40.7905007249227
"16","2014","HARLEM-EAST","1631","1012","1635 LEXINGTON AVENUE","10029","03/21/2014",826615,-73.9475378512092,40.7905007249227
"17","2014","HARLEM-EAST","1631","1014","1635 LEXINGTON AVE","10029","08/26/2014",865309,-73.9475378512092,40.7905007249227
"18","2014","HARLEM-EAST","1631","1016","1635 LEXINGTON AVENUE","10029","06/04/2014",700556,-73.9475378512092,40.7905007249227
"19","2014","HARLEM-EAST","1631","1017","1635 LEXINGTON AVENUE","10029","06/04/2014",882619,-73.9475378512092,40.7905007249227
"20","2014","HARLEM-EAST","1631","1021","1635 LEXINGTON AVENUE","10029","02/28/2014",792198,-73.9475378512092,40.7905007249227
"21","2014","HARLEM-EAST","1631","1026","1635 LEXINGTON AVENUE","10029","04/25/2014",743322,-73.9475378512092,40.7905007249227
"22","2014","HARLEM-EAST","1631","1043","1635 LEXINGTON AVENUE","10029","06/17/2014",403572,-73.9475378512092,40.7905007249227
"23","2014","HARLEM-EAST","1631","40","1882 THIRD AVENUE","10029","03/10/2014",2475000,-73.9456963182672,40.790184227839
"24","2014","HARLEM-EAST","1632","1003","165 EAST 104 STREET","10029","11/18/2014",375000,-73.946598756133,40.7906787011858
"25","2014","HARLEM-EAST","1632","1005","165 EAST 104 STREET","10029","10/28/2014",268000,-73.946598756133,40.7906787011858
"26","2014","HARLEM-EAST","1634","51","1701 LEXINGTON AVENUE","10029","06/03/2014",4620000,-73.9459651613759,40.7926573569802
"27","2014","HARLEM-EAST","1635","24","1711 LEXINGTON","10029","12/22/2014",1420000,-73.945502679677,40.7929178886417
"28","2014","HARLEM-EAST","1636","47","162-164 EAST 109 STREET","10029","05/29/2014",1800000,-73.9442883824139,40.7939191346745
"29","2014","HARLEM-EAST","1638","1014","161 EAST 110 STREET","10029","07/23/2014",755000,-73.94386526763,40.7945886435041
"30","2014","HARLEM-EAST","1638","1036","161 EAST 110 STREET","10029","01/08/2014",718000,-73.94386526763,40.7945886435041
"31","2014","HARLEM-EAST","1638","1038","161 EAST 110 STREET","10029","02/25/2014",516000,-73.94386526763,40.7945886435041
"32","2014","HARLEM-EAST","1638","1050","161 EAST 110TH STREET","10029","08/18/2014",715000,-73.94386526763,40.7945886435041
"33","2014","HARLEM-EAST","1638","40","186 EAST 111 STREET, 1","10029","12/19/2014",412500,-73.9428753685934,40.7949696745966
"34","2014","HARLEM-EAST","1646","1103","215 EAST 96TH   STREET, CONDP","10128","02/21/2014",1341708,-73.9487338736526,40.7849486688804
"35","2014","HARLEM-EAST","1646","1103","215 EAST 96TH   STREET, CONDP","10128","02/27/2014",575000,-73.9487338736526,40.7849486688804
"36","2014","HARLEM-EAST","1646","1103","215 EAST 96TH   STREET, CONDP","10128","04/14/2014",1227500,-73.9487338736526,40.7849486688804
"37","2014","HARLEM-EAST","1646","1103","215 EAST 96TH   STREET, CONDP","10128","04/25/2014",670000,-73.9487338736526,40.7849486688804
"38","2014","HARLEM-EAST","1646","1103","215 EAST 96TH   STREET, CONDP","10128","06/10/2014",1306000,-73.9487338736526,40.7849486688804
"39","2014","HARLEM-EAST","1646","1103","215 EAST 96TH   STREET, CONDP","10128","06/16/2014",1226000,-73.9487338736526,40.7849486688804
"40","2014","HARLEM-EAST","1646","1103","215 EAST 96TH   STREET, CONDP","10128","06/19/2014",1050000,-73.9487338736526,40.7849486688804
"41","2014","HARLEM-EAST","1646","1103","215 EAST 96TH   STREET, CONDP","10128","06/27/2014",860000,-73.9487338736526,40.7849486688804
"42","2014","HARLEM-EAST","1646","1103","215 EAST 96TH   STREET, CONDP","10128","07/22/2014",1150000,-73.9487338736526,40.7849486688804
"43","2014","HARLEM-EAST","1646","1103","215 EAST 96TH   STREET, CONDP","10128","07/31/2014",850000,-73.9487338736526,40.7849486688804
"44","2014","HARLEM-EAST","1646","1103","215 EAST 96TH   STREET, CONDP","10128","10/10/2014",563000,-73.9487338736526,40.7849486688804
"45","2014","HARLEM-EAST","1646","1103","215 EAST 96TH   STREET, CONDP","10128","10/15/2014",920000,-73.9487338736526,40.7849486688804
"46","2014","HARLEM-EAST","1646","1103","215 EAST 96TH STREET, 26D","10128","10/22/2014",1175000,-73.9487338736526,40.7849486688804
"47","2014","HARLEM-EAST","1646","1103","215 EAST 96TH STREET, 40F","10128","08/20/2014",775000,-73.9487338736526,40.7849486688804
"48","2014","HARLEM-EAST","1646","1103","217 EAST 96TH   STREET, 42E","10128","07/18/2014",850000,-73.9487049936895,40.7849376770942
"49","2014","HARLEM-EAST","1646","1103","217 EAST 96TH   STREET, PHD","10128","07/15/2014",779000,-73.9487049936895,40.7849376770942
"50","2014","HARLEM-EAST","1646","1103","217 EAST 96TH STREET, 33F","10128","05/15/2014",750000,-73.9487049936895,40.7849376770942
"51","2014","HARLEM-EAST","1659","1","1985 3 AVENUE","10029","08/07/2014",2250000,-73.9431654444801,40.7936249002978
